PaymentID,ResidentID,PropertyID,PaymentDate,Amount
PM00001,R0085,P005,2025-06-24,2122
PM00002,R0109,P008,2025-08-10,1345
PM00003,R0031,P006,2026-09-07,1578
PM00004,R0229,P009,2025-02-23,1239
PM00005,R0240,P001,2026-11-26,988
PM00006,R0141,P009,2026-02-07,811
PM00007,R0156,P001,2025-11-14,703
PM00008,R0299,P010,2025-12-15,1719
PM00009,R0099,P010,2026-03-19,1981
PM00010,R0047,P003,2026-08-03,1176
PM00011,R0067,P001,2026-06-24,1975
PM00012,R0062,P003,2025-10-09,624
PM00013,R0109,P002,2025-12-26,2391
PM00014,R0167,P002,2026-09-23,1379
PM00015,R0037,P009,2026-10-08,1327
PM00016,R0119,P008,2026-10-03,1253
PM00017,R0086,P001,2025-01-08,89
PM00018,R0052,P004,2026-07-17,569
PM00019,R0091,P001,2026-05-06,1689
PM00020,R0289,P001,2025-12-07,2333
PM00021,R0298,P004,2026-04-17,512
PM00022,R0204,P002,2026-11-18,1301
PM00023,R0238,P003,2026-11-26,1898
PM00024,R0155,P009,2026-12-05,532
PM00025,R0240,P002,2025-09-06,392
PM00026,R0136,P004,2025-08-23,1246
PM00027,R0064,P001,2025-03-24,1512
PM00028,R0123,P002,2025-04-03,1252
PM00029,R0254,P005,2026-01-29,1671
PM00030,R0114,P010,2025-09-25,2230
PM00031,R0020,P001,2026-02-21,2448
PM00032,R0016,P007,2026-09-24,2181
PM00033,R0145,P004,2026-08-06,1042
PM00034,R0208,P006,2026-06-13,2440
PM00035,R0019,P008,2025-09-10,1239
PM00036,R0166,P006,2025-05-02,2390
PM00037,R0038,P002,2025-01-10,1653
PM00038,R0181,P001,2025-11-12,1243
PM00039,R0105,P008,2025-09-30,647
PM00040,R0100,P008,2025-11-02,694
PM00041,R0090,P009,2025-07-29,497
PM00042,R0300,P006,2026-12-31,813
PM00043,R0079,P001,2026-04-09,784
PM00044,R0073,P009,2026-12-13,1692
PM00045,R0176,P003,2026-12-29,2347
PM00046,R0096,P006,2026-12-18,650
PM00047,R0103,P010,2026-02-20,2222
PM00048,R0224,P010,2025-08-04,2210
PM00049,R0006,P009,2025-03-21,1030
PM00050,R0122,P003,2026-04-25,1832
PM00051,R0236,P005,2026-07-01,2247
PM00052,R0116,P005,2025-01-18,2440
PM00053,R0163,P010,2025-06-14,629
PM00054,R0226,P007,2026-06-09,832
PM00055,R0230,P004,2025-07-21,2418
PM00056,R0182,P004,2025-12-12,581
PM00057,R0249,P007,2026-01-01,1562
PM00058,R0210,P009,2026-03-24,661
PM00059,R0144,P004,2026-05-28,2349
PM00060,R0096,P004,2025-11-15,2055
PM00061,R0244,P006,2025-08-05,1150
PM00062,R0086,P006,2025-02-03,1720
PM00063,R0184,P007,2025-09-23,1465
PM00064,R0121,P001,2026-10-02,1485
PM00065,R0092,P003,2026-12-25,2270
